error,delta_error,delta_pwm
0.3468,-0.4384,101
0.4468,1.1012,-965
0.4468,0.4405,-395
0.4368,0.0485,-344
0.3268,-1.0451,550
0.1068,-3.2266,1369
-0.1132,-4.0991,1435
-0.0032,-0.2354,228
0.3268,4.1186,-1442
0.6468,4.7442,-1670
0.6468,1.8977,-1400
0.5468,-0.5175,26
0.4368,-1.6113,1235
0.2268,-3.3254,1334
0.1168,-2.3947,1362
0.0068,-2.3621,1398
0.2168,1.7360,-1400
0.2168,0.6944,-594
0.2168,0.2778,-264
0.1068,-0.9534,694
-0.0032,-1.7856,1400
-0.1132,-2.1185,1400
-0.1132,-0.8474,721
0.1068,2.4696,-1400
0.1168,1.0846,-948
0.0068,-0.9704,825
-0.1656,-2.5890,1400
-0.1280,-0.5556,485
-0.0904,0.2578,-163
0.0592,1.5508,-1400
0.1968,2.3769,-1400
0.2344,1.4308,-1320
0.2720,1.0523,-916
0.3096,0.9009,-768
0.3592,0.8404,-715
0.3968,0.8161,-694
0.4344,0.8065,-686
0.4720,0.8026,-682
0.5096,0.8010,-681
0.4492,-0.2641,-98
0.3868,-0.9022,391
0.3144,-1.2852,766
0.3520,-0.0341,-250
0.2796,-0.9379,509
0.2236,-0.9171,545
0.1136,-1.7711,1356
0.1036,-0.8361,598
0.1036,-0.3344,214
-0.0064,-1.5380,1400
-0.0064,-0.6152,531
-0.1164,-1.6503,1400
-0.1164,-0.6601,566
-0.1164,-0.2641,253
-0.0064,1.2986,-1162
0.1036,1.5840,-1400
0.1036,0.6336,-545
0.1036,0.2534,-244
0.1036,0.1014,-106
0.2136,1.4448,-1336
0.3236,1.6424,-1400
0.4336,2.0612,-1400
0.6536,3.6330,-1400
0.8736,4.2617,-1508
1.1036,4.6409,-1687
1.0936,1.7596,-1400
1.0836,0.5762,-744
0.7536,-3.9823,1175
0.7536,-1.5929,1133
0.5436,-3.3180,1242
0.8636,1.7696,-1400
0.6436,-2.1007,1200
0.6436,-0.8403,170
0.4336,-3.0170,1275
0.3136,-2.7387,1307
0.1036,-3.1277,1369
-0.1164,-4.0596,1421
-0.1164,-1.6238,1400
-0.0164,0.6271,-523
0.0936,1.6551,-1400
0.1036,0.7588,-646
-0.2164,-3.7816,1400
-0.5464,-5.7254,1745
-0.5464,-2.2902,1400
-0.2164,3.2967,-1337
0.2236,5.5767,-1542
0.4336,4.9115,-1609
0.6436,4.6455,-1632
0.8636,4.6667,-1660
0.9736,3.2709,-1400
1.0836,2.3729,-1400
